Permutation,Q2_Scrambled
739,-0.03709231032908922
740,-0.15797317537759947
741,-0.14205216786142816
742,-0.0734095849698817
743,-0.17719183609258637
744,-0.25078655033766717
745,-0.1633704022821738
746,-0.18844007135500163
747,-0.07243908912995445
748,-0.11693779433162099
749,-0.019236928083993687
750,0.052654616697639045
751,-0.022675524722373108
752,-0.038587731735574504
753,-0.14859867598896037
754,-0.18993686742737004
755,-0.12563858078088863
756,0.034458587243547
757,-0.03783671014720014
758,0.07451715245157431
759,-0.1785583818342844
760,-0.056845784421480916
761,-0.39550823317964223
762,-0.09488803826610681
763,-0.1502129600612907
764,-0.0707952866193644
765,-0.07994239270776715
766,-0.16149625346732366
767,-0.10662041889221996
768,-0.11338394916307504
769,-0.09693359096985277
770,-0.08082951436605978
771,0.024971369759642204
772,-0.2543728230326301
773,-0.40423758413369737
774,-0.04023876410304239
775,-0.07459207911727539
776,-0.02692803135557642
777,-0.11367274578356246
778,-0.1497102700675672
779,-0.2753444053849583
780,-0.03439158998222713
781,-0.07084475104554144
782,-0.04387754019163137
783,-0.29674724806420616
784,-0.19298425307599643
785,-0.13417269775410978
786,-0.06945860300073958
787,-0.1604765992790227
788,-0.0665290016074791
789,0.055557875192926987
790,-0.13622165056283864
791,-0.11926316506989965
792,-0.10136355443312861
793,-0.3833290111731349
794,-0.08199774077187172
795,-0.08370343678420711
796,-0.0320096984926006
797,-0.5028585692440246
798,-0.036743962537427954
799,-0.04041140661106746
800,-0.12853670614296142
801,-0.06520281327486677
802,-0.1654607279479854
803,-0.06639988996829649
804,-0.195992964781337
805,-0.040176459831183786
806,-0.02088003112849246
807,-0.012219797879597927
808,-0.07871971704891445
809,-0.10526132441305713
810,-0.08678264248073853
811,-0.22363085944641514
812,-0.25934409820559723
813,-0.2550383178541955
814,-0.22495162422520876
815,0.005182319844841188
816,-0.12047042455443968
817,-0.18710218907632603
818,-0.05942753075062912
819,-0.10900081825503016
820,-0.12421075690337657
821,-0.10708461762825183
822,-0.14491087675849879
823,-0.10618973014369892
824,-0.08731677548091366
825,-0.09110037782428759
826,-0.06494870945577613
827,-0.06752401860011314
828,-0.01766823683540064
829,-0.11073610730082195
830,-0.030036496752259056
831,-0.27254476893052537
832,-0.10261045179753059
833,-0.09407451373973275
834,-0.15187232073303125
835,-0.11311050799892808
836,-0.11869147095618926
837,-0.2757127847750298
838,-0.27283177416125937
839,-0.030713203201092387
840,-0.056443522119146605
841,-0.38917000925920897
