drug_name,carrier_name,E_complex_Eh,E_carrier_Eh,E_drug_Eh,Delta_E_ads_Eh,Delta_E_ads_kcal_mol,E_disp_complex_Eh,Interfacial_Charge_Transfer_e
Erlotinib,BP_doped,-189.629118069008,-105.807086009473,-83.792930508025,-0.029101551510024137,-18.26,0.0,0.1198
5-Fluorouracil,BP_doped,-134.645739343328,-105.807086009473,-28.827557350502,-0.01109598335298756,-6.96,0.0,0.0239
Gemcitabine,BP_doped,-165.2327537738,-105.807086009473,-59.404752143522,-0.02091562080499898,-13.12,0.0,0.1839
Abemaciclib,BP_doped,-212.898970782007,-105.807086009473,-107.063261902183,-0.02862287035102895,-17.96,0.0,0.2428
Palbociclib,BP_doped,-200.69123307843,-105.807086009473,-94.851608064294,-0.03253900466302184,-20.42,0.0,0.2128
Irinotecan,BP_doped,-232.115643619132,-105.807086009473,-126.277489024463,-0.03106858519598177,-19.5,0.0,0.1039
Capecitabine,BP_doped,-187.137626353123,-105.807086009473,-81.312396371452,-0.018143972198032543,-11.39,0.0,-0.1387
Methotrexate,BP_doped,-203.663652491489,-105.807086009473,-97.792999847161,-0.06356663485499325,-39.89,0.0,0.2025
Topotecan,BP_doped,-195.983432548662,-105.807086009473,-90.15011677208,-0.026229767108986835,-16.46,0.0,0.153
Doxorubicin,BP_doped,-226.117392865423,-105.807086009473,-120.282872121339,-0.027434734611006206,-17.22,0.0,0.156
Dacarbazine,BP_doped,-145.346451380434,-105.807086009473,-39.501045867916,-0.03831950304498832,-24.05,0.0,0.5689
Hydroxyurea,BP_doped,-123.934719635542,-105.807086009473,-18.112287446966,-0.015346179103005397,-9.63,0.0,0.0861
Paclitaxel,BP_doped,-292.335590556023,-105.807086009473,-186.479162832909,-0.04934171364101303,-30.96,0.0,0.1138
Etoposide,BP_doped,-237.177112820795,-105.807086009473,-131.343459074453,-0.02656773686902625,-16.67,0.0,0.6549
Mitomycin C,BP_doped,-179.153322513846,-105.807086009473,-73.307919571178,-0.03831693319500573,-24.04,0.0,0.3611
Pemetrexed,BP_doped,-198.479618582986,-105.807086009473,-92.642301662217,-0.030230911296030172,-18.97,0.0,0.2245
Leucovorin,BP_doped,-209.408344446142,-105.807086009473,-103.568186249842,-0.03307218682698476,-20.75,0.0,0.1948
Futibatinib,BP_doped,-199.50032217993,-105.807086009473,-93.66706570438,-0.026170466077019228,-16.42,0.0,0.0962
Belumosudil,BP_doped,-188.015692722431,-105.807086009473,-82.180488494922,-0.02811821803598491,-17.64,0.0,0.1361
Trabectedin,BP_doped,-268.149168229922,-105.807086009473,-162.289474360851,-0.05260785959802661,-33.01,0.0,0.1376
Capivasertib,BP_doped,-168.928224133475,-105.807086009473,-63.083943950378,-0.037194173624016,-23.34,0.0,0.2111
Avapritinib,BP_doped,-212.920786232291,-105.807086009473,-107.092442145685,-0.021258077132984,-13.34,0.0,0.2349
Pimicotinib,BP_doped,-181.910682354011,-105.807086009473,-76.079645351502,-0.023950993036010004,-15.03,0.0,0.1878
